1 First adult male yes
2 First adult male yes
3 First adult male yes
4 First adult male yes
5 First adult male yes
6 First adult male yes
7 First adult male yes
8 First adult male yes
9 First adult male yes
10 First adult male yes
11 First adult male yes
12 First adult male yes
13 First adult male yes
14 First adult male yes
15 First adult male yes
16 First adult male yes
17 First adult male yes
18 First adult male yes
19 First adult male yes
20 First adult male yes
21 First adult male yes
22 First adult male yes
23 First adult male yes
24 First adult male yes
25 First adult male yes
26 First adult male yes
27 First adult male yes
28 First adult male yes
29 First adult male yes
30 First adult male yes
31 First adult male yes
32 First adult male yes
33 First adult male yes
34 First adult male yes
35 First adult male yes
36 First adult male yes
37 First adult male yes
38 First adult male yes
39 First adult male yes
40 First adult male yes
41 First adult male yes
42 First adult male yes
43 First adult male yes
44 First adult male yes
45 First adult male yes
46 First adult male yes
47 First adult male yes
48 First adult male yes
49 First adult male yes
50 First adult male yes
51 First adult male yes
52 First adult male yes
53 First adult male yes
54 First adult male yes
55 First adult male yes
56 First adult male yes
57 First adult male yes
58 First adult male no
59 First adult male no
60 First adult male no
61 First adult male no
62 First adult male no
63 First adult male no
64 First adult male no
65 First adult male no
66 First adult male no
67 First adult male no
68 First adult male no
69 First adult male no
70 First adult male no
71 First adult male no
72 First adult male no
73 First adult male no
74 First adult male no
75 First adult male no
76 First adult male no
77 First adult male no
78 First adult male no
79 First adult male no
80 First adult male no
81 First adult male no
82 First adult male no
83 First adult male no
84 First adult male no
85 First adult male no
86 First adult male no
87 First adult male no
88 First adult male no
89 First adult male no
90 First adult male no
91 First adult male no
92 First adult male no
93 First adult male no
94 First adult male no
95 First adult male no
96 First adult male no
97 First adult male no
98 First adult male no
99 First adult male no
100 First adult male no
101 First adult male no
102 First adult male no
103 First adult male no
104 First adult male no
105 First adult male no
106 First adult male no
107 First adult male no
108 First adult male no
109 First adult male no
110 First adult male no
111 First adult male no
112 First adult male no
113 First adult male no
114 First adult male no
115 First adult male no
116 First adult male no
117 First adult male no
118 First adult male no
119 First adult male no
120 First adult male no
121 First adult male no
122 First adult male no
123 First adult male no
124 First adult male no
125 First adult male no
126 First adult male no
127 First adult male no
128 First adult male no
129 First adult male no
130 First adult male no
131 First adult male no
132 First adult male no
133 First adult male no
134 First adult male no
135 First adult male no
136 First adult male no
137 First adult male no
138 First adult male no
139 First adult male no
140 First adult male no
141 First adult male no
142 First adult male no
143 First adult male no
144 First adult male no
